tweettext,label
RT @COCONUTOILBAE: when you want to be friends w ppl but ppl think ur mean and unapproachable cus u have a resting bitch face and soci… ,1
RT @taestychai: It's sad that people can't even respect another human in their time of suffering. Humanity really has no hope left.,1
RT @dataperversion: my depression is doing a mic check in my head right now and asking for more in the monitors,1
RT @enchiladad: so apparently my theme this summer is gonna be: depression,1
"RT @StrongIife: Being negative and lazy is a disease that leads to pain, hardship and depression. Be proactive, and give a damn to achieve…",1
"My mental health day actually helped a lot, now lets hope losing the days pay does fuck me over in a couple weeks",1
"RT @TheRickWilson: This Todd Kincannon story is amazzzzing and horrifying. 

Also, he needs to spend a long time, closely supervised, in an…",1
"RT @ShineMyGold: i tried to commit suicide today. never doin that shit again, i almost killed myself",1
@kfippin He’s at the age where you are basically on suicide watch! 👀,1
#MentalHealth Mental Health Mckinney -  https://t.co/eYqy9nXpX7 Plenty of women who suffered from hysteria or epil.… https://t.co/2iloZWZ5MP,1
I know he's sad and now I'm crying😭,1
"RT @AdrianStier: I suffered from severe anxiety and panic attacks throughout my PhD and postdocs. You’re not alone in feeling depressed, an…",1
"RT @NasirPasir: Johan: “Nora kenapa tak buat Kiki Challenge?”
Nora Danish: “Nanti depression kena kecam”
Zizan: “Jangan risau, kalau kita d…",1
"BREAKING NEWS: owning 1 gun in your house cures all mental health problems, what are u waiting for??!",1
RT @loopzoop: Hello? 2 hour depression nap? Do you remember me...in monaco... i made u that bracelet,1
how to stop depression?,1
@hussain_imtiyaz @mauseen_khan Sad loss for your team. Heart felt condolences.,1
This makes me so sad,1
"RT @blingspice: Lana Del Rey: *sings about fucking old men, dying, and depression*

Me: https://t.co/5YqvMvZPIE",1
RT @beechapo: you didn't even have anger problems or depression until you had sex wth that loser,1
RT @COCONUTOILBAE: when you want to be friends w ppl but ppl think ur mean and unapproachable cus u have a resting bitch face and soci… ,1
"RT @matthaig1: Anxiety does not mean you are weak. Anxiety forges you. Living with anxiety, turning up and doing stuff with anxiety, takes…",1
RT @ehjovan: so not only am i gay because im depressed but being gay is the root of my depression... im trapped in an endless cycle https:/…,1
@JanOnGrande So sad. Some inhumane scumbag.,1
@jackvvynand machine connor’s route sucks because you have to make hank sad because he believes in connor *so much*… https://t.co/U0aYJZHfci,1
"RT @peedekaf: I get so much PUSSY 
P - panic attacks 
U - uncontrollable anxiety 
S - suicidal fantasies 
S - sadness
Y - yearning for death",1
