tweettext,label
RT @humansofny: “I don’t think I’m going to miss eighth grade. It’s been a tough year. A lot of my friends are struggling with depr… ,0
RT @KeriganWade: if it wasnt for music I’d be one sad person 😂😂😩,0
"i’m going to go to bed since i’m very sad and lost all energy, i hope he knows we all love and support him through… https://t.co/OPMoRjEHqW",0
"RT @noturmcm: me: wow i’m actually starting to feel happy again 

my depression: https://t.co/iH2vC63J6S",0
mental health comes first always,0
How cool would it be if like the Bulls ever made the Finals I think I'd make 5 ER trips within the series due anxiety—But it be a blast.,0
"RT @Gail_MacKean: Do you have lived experience of depression [incl. family, carers, health professionals]? Please complete this survey http…",0
"RT @Gail_MacKean: Do you have lived experience of depression [incl. family, carers, health professionals]? Please complete this survey http…",0
RT @adea_pristine: #BellLetsTalk is supposed to help people feel comfortable opening up about mental illness. Unfortunately in my case i se…,0
"RT @JantaKaReporter: मराठा आरक्षण की आग में फिर सुलगा महाराष्ट्र, फेसबुक पोस्ट लिखने के बाद एक और शख्स ने की खुदकुशी Via @HindiJKR 
#Marath…",0
"""Do you want some coffee or something? You look like you're gonna pass out."" Yea that's the depression, I'm good 👌🏻👌🏻",0
RT @Advekit: Do you agree? How does #socialmedia affect you? #mental health https://t.co/zEYR5FSMpI,0
RT @iamsrk: @jiteshpillaai Happy B’Day my friend. May u be healthy &amp; happy. Also hopefully hav less stress with star managers &amp; their entou…,0
RT @LiTabletop: Don't stress! Entry to the Long Island Tabletop Gaming Expo is also Entry to the Long Island Retro Gaming Expo! Two great e…,0
RT @TyyDoll_: Never https://t.co/nzdutxEcc7,0
Hand Spinner Tri Fidget Stress Reducer ADHD Anxiety Desk Toy EDC Metal Ball  via eBay https://t.co/nk3KFNWUsd,0
"@dodo ""Cletus the rescue dog has anxiety and so many health issues — but his new parents know exactly how… https://t.co/LcQdzvjrqr",0
"Casi no lo sigo creyendo que era hetero, pero ahora soy fan de su pack, sad.",0
RT @itsrjhill: Trying to put change in my wallet at the cash register while people in line put pressure on me by just standing https://t.co…,0
RT @medelmarr: ...yeah u cute but are u good for my mental health,0
RT @lifeaseva: Can we all stop treating anxiety like it's a choice and something cool to have thank you,0
Lets keep up the pressure,0
RT @_coryrichardson: i’m so sad alexa play my shiny teeth and me by chip skylark,0
Stop Letting Anxiety Limit Your Life: Some Tips That Can Help - https://t.co/BKiOtZLfoP,0
RT @ZaheerAmien: I’m sad I’ll never again get to say “the silence was deafening” like I did in every single English paper 3 in highschool,0
"We are a family that rescuse animals, takes people in, donates to everything we can.  Now we are in a hard spot and… https://t.co/2uWV5IZEbQ",0
A heart attack in japanese candlestick form,0
19 Problems Only Happy People With Depression Understand https://t.co/bmci7lkc3l via @TheMightySite,0
RT @janinebucks: How You Beat Anxiety - Ryan Shaw | Self-Improvement |948680375 #SelfImprovement https://t.co/Y06RUAuWkx #SelfImprovement,0
